dataset,error,log_loss,training_time_seconds
Bladder-GSE31189,0.376471,0.602932,0.069178
Bladder-GSE40355,0.08,0.347626,0.05918
Brain-GSE15824,0.264286,0.620705,0.042866
Brain-GSE50161,0.061538,0.21811,0.127617
Breast-GSE10797,0.167033,0.486815,0.048492
Breast-GSE22820,0.014286,0.131442,0.08595
Breast-GSE26304,0.573913,1.276369,0.093643
Breast-GSE26910,0.1,0.331677,0.076056
Breast-GSE33447,0.0,9.5e-05,0.077816
Breast-GSE38959,0.022222,0.133544,0.086988
Breast-GSE42568,0.034783,0.106871,0.130504
Breast-GSE45827,0.05914,0.16965,0.166912
Breast-GSE57297,0.0,0.013557,0.083703
Breast-GSE59246,0.099048,0.383055,0.068953
Breast-GSE70947,0.103932,0.292287,0.175639
Breast-GSE7904,0.022222,0.016752,0.145825
Breast-GSE89116,0.607143,1.116005,0.072521
Colorectal-GSE21510,0.013333,0.05914,0.138094
Colorectal-GSE25070,0.038182,0.387539,0.073787
Colorectal-GSE32323,0.033333,0.166331,0.073688
Colorectal-GSE41328,0.0,0.0,0.069882
Colorectal-GSE41657,0.162745,0.435153,0.101184
Colorectal-GSE44076,0.0,0.001272,0.233748
Colorectal-GSE44861,0.152381,0.503739,0.050528
Colorectal-GSE75548,0.166667,0.645548,0.074039
Colorectal-GSE77953,0.018182,0.035817,0.094742
Colorectal-GSE8671,0.0,0.0,0.139047
Gastric-GSE19826,0.21,0.597723,0.039614
Gastric-GSE79973,0.1,0.30772,0.035159
Leukemia-GSE14317,0.0,0.003928,0.07102
Leukemia-GSE22529-U133A,0.038182,0.137334,0.045812
Leukemia-GSE22529-U133B,0.018182,0.142827,0.062827
Leukemia-GSE28497,0.113722,0.353308,0.129195
Leukemia-GSE33615,0.0,0.000252,0.09384
Leukemia-GSE63270,0.0,0.001324,0.133738
Leukemia-GSE71935,0.066667,0.323252,0.052603
Leukemia-GSE9476,0.046154,0.099976,0.09853
Liver-GSE14520-U133-2,0.0,1e-06,0.087431
Liver-GSE14520-U133A,0.033607,0.119396,0.155938
Liver-GSE22405,0.06,0.26193,0.065906
Liver-GSE46408,0.0,0.003918,0.078481
Liver-GSE50579,0.026667,0.141337,0.057839
Liver-GSE57957,0.04,0.17324,0.072216
Liver-GSE60502,0.028571,0.240204,0.070363
Liver-GSE62232,0.043275,0.138795,0.083154
Liver-GSE76427,0.048485,0.207292,0.120675
Lung-GSE18842,0.0,6e-06,0.128022
Lung-GSE19804,0.034783,0.181659,0.104934
Lung-GSE27262,0.0,4e-06,0.101872
Lung-GSE63459,0.353846,0.697825,0.046326
Lung-GSE74706,0.0,9e-06,0.079332
Lung-GSE7670,0.058182,0.353844,0.067566
Ovary-GSE12470,0.209091,0.549526,0.081425
Ovary-GSE16570,0.0,0.00963,0.090383
Ovary-GSE16708,0.0,2.2e-05,0.094661
Ovary-GSE6008,0.234211,0.668393,0.07176
Pancreatic-GSE16515,0.156364,0.433717,0.090998
Prostate-GSE11682,0.261905,0.581134,0.031595
Prostate-GSE26910,0.166667,1.869595,0.085423
Prostate-GSE46602,0.04,0.087825,0.068499
Prostate-GSE55945,0.066667,1.101084,0.072008
Prostate-GSE6919-U95Av2,0.290333,0.603819,0.050028
Prostate-GSE6919-U95B,0.346333,0.661345,0.077266
Prostate-GSE6919-U95C,0.295652,0.593578,0.069776
Renal-GSE53757,0.168473,0.441468,0.124378
Renal-GSE6344-U133A,0.1,0.618746,0.044632
Renal-GSE6344-U133B,0.1,0.612435,0.04823
Renal-GSE66270,0.0,0.0,0.117841
Throat-GSE12452,0.0,0.092228,0.076601
Throat-GSE42743,0.09619,0.271334,0.091348
Throat-GSE53819,0.0,3.6e-05,0.095325
Throat-GSE59102,0.0,0.0,0.11224
