num_training_examples,num_features,error,log_loss,training_time_seconds
256,256,0.138,0.467972,0.061375
256,512,0.1118,0.382227,0.206253
256,1024,0.0985,0.339114,0.091102
256,2048,0.0891,0.303201,0.079729
256,4096,0.0928,0.305244,0.092015
256,8192,0.0839,0.28753,0.106863
256,16384,0.0836,0.278554,0.153715
512,256,0.0985,0.327223,0.100998
512,512,0.0783,0.263507,0.124888
512,1024,0.0789,0.259223,0.11538
512,2048,0.0616,0.204873,0.131866
512,4096,0.0571,0.189393,0.176142
512,8192,0.0523,0.173238,0.226414
512,16384,0.0535,0.171463,0.379124
1024,256,0.0702,0.232422,0.111678
1024,512,0.0561,0.186849,0.342666
1024,1024,0.0492,0.156635,0.355303
1024,2048,0.0425,0.136634,0.475407
1024,4096,0.0378,0.124991,0.530623
1024,8192,0.0348,0.112272,0.861058
1024,16384,0.0331,0.109967,1.387743
2048,256,0.0551,0.181467,0.176607
2048,512,0.0449,0.144755,0.252406
2048,1024,0.0358,0.118383,0.575005
2048,2048,0.0311,0.102117,2.380716
2048,4096,0.0297,0.095286,2.808553
2048,8192,0.0279,0.088885,3.6604
2048,16384,0.0269,0.086046,5.093352
4096,256,0.0488,0.163675,0.447915
4096,512,0.0375,0.122607,0.385196
4096,1024,0.0307,0.096024,0.785346
4096,2048,0.0258,0.083084,3.114711
4096,4096,0.0261,0.077904,21.894996
4096,8192,0.0225,0.070546,23.531355
4096,16384,0.0216,0.065375,28.400895
8192,256,0.0449,0.151472,0.456521
8192,512,0.0342,0.10926,0.752834
8192,1024,0.0237,0.079187,1.427938
8192,2048,0.0213,0.068878,4.828882
8192,4096,0.0193,0.063034,18.194784
8192,8192,0.0181,0.058426,194.752076
8192,16384,0.0169,0.052659,206.155925
16384,256,0.0434,0.143902,1.101828
16384,512,0.0325,0.101172,1.221304
16384,1024,0.0226,0.069862,3.002528
16384,2048,0.0181,0.057838,5.162277
16384,4096,0.016,0.04993,28.425397
16384,8192,0.0138,0.04502,180.626232
16384,16384,0.0131,0.041415,1030.854352
32768,256,0.0411,0.13669,3.239029
32768,512,0.0305,0.094687,4.122401
32768,1024,0.0209,0.063715,5.288029
32768,2048,0.0166,0.051171,8.709688
32768,4096,0.0145,0.042105,40.079631
32768,8192,0.0126,0.038481,218.830095
32768,16384,0.0112,0.034639,1048.562037
60000,256,0.0404,0.135882,6.6546
60000,512,0.0302,0.093663,5.897671
60000,1024,0.0206,0.063552,10.117794
60000,2048,0.015,0.0499,17.249958
60000,4096,0.0133,0.040311,57.473775
60000,8192,0.0116,0.035467,222.929631
60000,16384,0.0095,0.031452,1239.64718
