suite,dataset,error,log_loss,training_time_seconds
99,3,0.013137,0.03736,3.688172
99,6,0.20005,0.714217,1.315537
99,11,0.0704,0.163625,0.058895
99,12,0.015,0.057904,2.729571
99,14,0.176,0.546461,1.20512
99,15,0.032909,0.094485,0.042662
99,16,0.026,0.097642,0.904611
99,18,0.254,0.702286,0.100441
99,22,0.154,0.374486,0.463528
99,23,0.494198,0.981562,0.081543
99,28,0.011388,0.043665,1.789419
99,29,0.136232,0.396968,0.131186
99,31,0.247,0.516756,0.206308
99,32,0.013009,0.04944,0.622486
99,37,0.232985,0.486585,0.032975
99,43,0.076939,0.288762,1.567108
99,45,0.05768,0.174011,8.491836
99,49,0.008344,0.016534,0.098569
99,53,0.167845,0.436927,0.089775
99,219,0.221641,0.468579,1.043286
99,2074,0.130638,0.334235,0.478264
99,2079,0.470068,1.167453,0.168464
99,3021,0.034997,0.20413,0.712953
99,3022,0.222222,0.684076,0.077489
99,3481,0.025395,0.097948,140.25271
99,3549,0.002381,0.005765,0.214089
99,3560,0.789237,1.7749,0.057708
99,3573,0.043129,0.168226,269.058356
99,3902,0.091232,0.288502,0.221534
99,3903,0.103013,0.328469,0.223194
99,3904,0.1887,0.455678,0.391009
99,3913,0.16674,0.421022,0.040403
99,3917,0.140351,0.375307,0.085379
99,3918,0.070331,0.2847,0.081174
99,7592,0.153393,0.365603,27.751287
99,9910,0.229534,0.545008,54.525739
99,9946,0.028117,0.110753,0.10184
99,9952,0.217061,0.44698,0.094636
99,9957,0.146919,0.410192,0.209823
99,9960,0.122251,0.369923,0.207565
99,9964,0.051466,0.182048,2.250595
99,9971,0.282906,0.52724,0.029091
99,9976,0.411154,0.665605,16.749076
99,9977,0.04329,0.129823,717.830104
99,9978,0.059194,0.228933,1.685757
99,9981,0.048148,0.244744,1.517071
99,9985,0.462242,1.32652,1.167152
99,10093,0.008021,0.013783,0.093624
99,10101,0.208609,0.478371,0.052314
99,14952,0.0436,0.113192,3.769379
99,14954,0.201852,0.435947,0.122141
99,14965,0.096658,0.276317,4.279737
99,14969,0.49833,1.265097,0.45797
99,14970,0.007574,0.020515,214.671985
99,125920,0.41,0.672434,0.129797
99,125922,0.001091,0.003173,0.647044
99,146195,0.196442,0.519715,134.583618
99,146800,0.001852,0.003431,0.283123
99,146817,0.265847,0.867599,0.153378
99,146819,0.051852,0.223185,0.044355
99,146820,0.029138,0.187518,0.113538
99,146821,0.132529,0.366934,0.071882
99,146822,0.128139,0.403568,0.139031
99,146824,0.019,0.075287,2.954423
99,146825,0.112314,0.381316,826.715983
99,167119,0.238336,0.631066,0.807692
99,167120,0.477076,0.691784,2.798174
99,167121,0.121467,0.465708,166.944309
99,167124,0.483667,1.491042,1121.693615
99,167125,0.040559,0.162603,44.060447
99,167140,0.062148,0.184639,13.948944
99,167141,0.0786,0.278752,0.236348
334,361110,0.230545,0.477941,0.689281
334,361111,0.407331,0.666087,0.295396
334,361113,0.206727,0.448095,50.144676
334,361282,0.361121,0.644012,54.697185
334,361283,0.301914,0.594095,0.328985
334,361285,0.275022,0.554021,5.344755
334,361286,0.320575,0.607189,0.146941
337,361055,0.27091,0.541389,0.389489
337,361060,0.245101,0.491872,0.695356
337,361061,0.251079,0.516631,17.695999
337,361062,0.096905,0.204506,0.348842
337,361063,0.146723,0.362855,0.290666
337,361065,0.17195,0.39229,0.307261
337,361066,0.228681,0.487253,0.213592
337,361068,0.088194,0.227254,6.56934
337,361069,0.335078,0.618303,45.285945
337,361070,0.420871,0.66968,0.186567
337,361273,0.395063,0.660527,1.040042
337,361274,0.231782,0.485709,6.474664
337,361275,0.300783,0.593537,0.395961
337,361276,0.234999,0.577678,21.839663
337,361277,0.158525,0.359257,0.374403
337,361278,0.2822,0.554557,0.278341
