dataset,error,log_loss,training_time_seconds
ACSF1,0.173667,0.619788,0.08405
Adiac,0.193265,0.719583,0.210403
ArrowHead,0.116571,0.904314,0.106383
BME,0.007778,0.040165,0.121947
Beef,0.217778,1.796997,0.131709
BeetleFly,0.086667,0.375886,0.121003
BirdChicken,0.076667,0.399526,0.127675
CBF,0.003704,0.011828,0.08962
Car,0.075,0.550952,0.157049
Chinatown,0.031195,0.206995,0.091651
ChlorineConcentration,0.251814,0.630177,0.195701
CinCECGTorso,0.114444,0.936147,0.143689
Coffee,0.00119,0.003295,0.139437
Computers,0.205733,0.45636,0.096808
CricketX,0.174957,0.571426,0.167082
CricketY,0.159829,0.51561,0.176327
CricketZ,0.158718,0.523234,0.195759
Crop,0.23631,0.832863,85.97482
DistalPhalanxOutlineAgeGroup,0.189928,0.532117,0.178428
DistalPhalanxOutlineCorrect,0.169928,0.383942,0.268347
DistalPhalanxTW,0.311271,0.862732,0.185674
ECG200,0.088667,0.309566,0.122831
ECG5000,0.0548,0.244986,0.230018
ECGFiveDays,0.011382,0.05414,0.09909
EOGHorizontalSignal,0.163628,0.589469,0.207252
EOGVerticalSignal,0.2,0.689425,0.196555
Earthquakes,0.252038,0.555543,0.114931
ElectricDevices,0.120992,0.401832,143.651713
EthanolLevel,0.336,0.852392,0.228262
FaceAll,0.016805,0.099643,0.292133
FaceFour,0.035606,0.169891,0.105268
FacesUCR,0.027626,0.121399,0.12666
Fish,0.022286,0.103285,0.114587
FordA,0.055833,0.150827,13.044592
FordB,0.078601,0.209991,13.405253
FreezerRegularTrain,0.000772,0.005904,0.158464
FreezerSmallTrain,0.012643,0.060048,0.19033
GunPoint,0.007333,0.031967,0.134838
GunPointAgeSpan,0.007595,0.055772,0.148554
GunPointMaleVersusFemale,0.0,0.000119,0.155197
GunPointOldVersusYoung,0.0,0.0,0.134289
Ham,0.149206,0.400153,0.082212
HandOutlines,0.06045,0.179371,0.618424
Haptics,0.470346,1.3458,0.094171
Herring,0.409896,1.798097,0.087431
HouseTwenty,0.036695,0.29301,0.085501
InlineSkate,0.498303,1.496642,0.0932
InsectEPGRegularTrain,0.000268,0.000619,0.104821
InsectEPGSmallTrain,0.013387,0.067753,0.080229
InsectWingbeatSound,0.343737,1.079715,0.121314
ItalyPowerDemand,0.039877,0.400495,0.111332
LargeKitchenAppliances,0.095556,0.337813,0.163786
Lightning2,0.230055,0.681409,0.088172
Lightning7,0.223744,0.821918,0.119627
Mallat,0.03511,0.184301,0.155173
Meat,0.007222,0.014641,0.158006
MedicalImages,0.224079,0.828061,0.204131
MiddlePhalanxOutlineAgeGroup,0.328355,0.783761,0.167876
MiddlePhalanxOutlineCorrect,0.143757,0.340578,0.274788
MiddlePhalanxTW,0.450866,1.19902,0.192746
MixedShapesRegularTrain,0.030887,0.103496,0.227026
MixedShapesSmallTrain,0.058612,0.259589,0.144872
MoteStrain,0.086688,0.456729,0.089766
NonInvasiveFetalECGThorax1,0.047549,0.168219,2.337576
NonInvasiveFetalECGThorax2,0.03598,0.134884,2.333906
OSULeaf,0.038981,0.169898,0.115358
OliveOil,0.073333,0.727621,0.132011
PhalangesOutlinesCorrect,0.151088,0.355284,2.089973
Plane,0.0,6.3e-05,0.232645
PowerCons,0.017593,0.092475,0.142158
ProximalPhalanxOutlineAgeGroup,0.159675,0.456027,0.160634
ProximalPhalanxOutlineCorrect,0.106529,0.269737,0.267611
ProximalPhalanxTW,0.20439,0.609833,0.177057
RefrigerationDevices,0.284267,0.729005,0.152877
Rock,0.190667,1.418814,0.087175
ScreenType,0.438844,0.943337,0.152238
SemgHandGenderCh2,0.088778,0.206938,0.130588
SemgHandMovementCh2,0.318444,0.830316,0.231706
SemgHandSubjectCh2,0.121259,0.338586,0.208597
ShapeletSim,0.00037,0.00311,0.069631
ShapesAll,0.064389,0.277196,0.358092
SmallKitchenAppliances,0.185867,0.476899,0.162301
SmoothSubspace,0.038889,0.165775,0.207644
SonyAIBORobotSurface1,0.038214,0.19698,0.088901
SonyAIBORobotSurface2,0.072858,0.326722,0.095903
StarLightCurves,0.021936,0.075145,0.705152
Strawberry,0.023333,0.081921,0.258031
SwedishLeaf,0.035787,0.114132,0.260166
Symbols,0.032998,0.249868,0.104232
SyntheticControl,0.011111,0.031946,0.15308
ToeSegmentation1,0.059064,0.359608,0.098348
ToeSegmentation2,0.061282,0.355649,0.116935
Trace,0.0,0.0,0.132088
TwoLeadECG,0.002809,0.015348,0.076934
TwoPatterns,0.004783,0.016108,0.670081
UMD,0.009954,0.081151,0.114345
UWaveGestureLibraryAll,0.024856,0.089499,0.584058
UWaveGestureLibraryX,0.143393,0.434227,0.562907
UWaveGestureLibraryY,0.212749,0.656061,0.539072
UWaveGestureLibraryZ,0.198036,0.594382,0.56888
Wafer,0.008009,0.042437,0.670838
Wine,0.07284,0.640672,0.116673
WordSynonyms,0.216667,0.84792,0.160252
Worms,0.28355,0.864754,0.110345
WormsTwoClass,0.225108,0.501025,0.081296
Yoga,0.080589,0.225387,0.135113
